,Message,Sentiment Label
47613,Guitar/reading/tired.. can we maybe call? XP,Neutral
46746,Coo',Neutral
15600,"Nope. Since ayo travelled, he has forgotten his guy",Negative
14042,Ugh just got outta class,Negative
12025,I will send them to your email. Do you mind <#> times per night?,Neutral
46147,Chris is trying to make me watch it and I'm not sure that I want to. Hm,Neutral
46904,Nnnnot positive,Negative
18074,Appt is at <TIME> am. Not my fault u don't listen. I told u twice,Negative
17337,K keep me informed,Neutral
14232,Tell rob to mack his gf in the theater,Neutral
46387,What's up my dearest cousin?,Positive
47638,<name> yo!,Neutral
18886,Okay cool. That'll give me plenty of time to finish,Positive
11968,how are you? I miss you!,Positive
47983,Psh so ungrateful =P,Positive
47053,Alright... well I love you and I'm here if you need me,Positive
34491,Oh no. Cramps?,Negative
18829,Who this be? What shoes?,Neutral
15581,"Tunde, how are you doing. This is just wishing you a great day. Abiola.",Positive
46465,Suuuuuure,Neutral
46423,I haven't withdrawn today but I have the <#> . I'll get <#> thenwe need <#> right?,Neutral
46185,Maybe <TIME> ?,Neutral
34462,Haha my text sounded angry so I wanted to fix it! Oh Connor...,Positive
47970,Like proofread and edited arguments and made sure we didn't look likewe did =P,Positive
47739,"Lol, you months ago: I am going to remember that the non-syllabicsyllable is (symbol) because it looks like a sad face, and theoffglide is sad it's not a full syllable.Oh god, now I'm really sad. D:",Neutral
18744,"Not yet ToT, but i'll receive it tomorow i think",Negative
17634,"Yo, you around? Just got my car back",Neutral
45052,"Hi Ricky, I need to check with you about the outstanding issues. 1)soil for the backyard, 2) mirror installation, 3) paint touch up and4) plastic edge for the sliding glass door, 5) bathtub sanding, 6)glass silicone sealup of bottom edge of big window. Finally, can youtell me about my neighbor's paint progress? Thanks.",Neutral
12061,I cant wait to see you! How were the photos were useful? :),Positive
17294,"It's that time of the week again, ryan",Neutral
14872,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day.",Negative
47654,So <#> ? XP,Neutral
47754,It's fine love =),Positive
14173,Happy new years!,Positive
47025,Sorry kinda mixed up here =/,Negative
47105,Fhhfeguugfvvf Fhhfeguugfvvf,Neutral
47793,No I don't want to this is such why does this alwayshappen to me,Negative
11975,what are your new years plans?,Neutral
35249,"Hi Ricky, there's no one here. What's going on?",Neutral
47129,He's <#> hours into it now xP,Neutral
15395,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",Neutral
47927,"Seriously, and of all countries to over, RUSSIA??",Negative
46720,Okay =D,Positive
34945,Hehehe. I DO love it when you're here.,Positive
47785,"I was with all the Cal undergrads but one, but now I'm home",Neutral
18232,Lol yes,Positive
15400,And torch is <#>,Neutral
14676,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!,Positive
19107,Lol well they left me alone after that,Neutral
45083,"Blanket is outside your door. Don't know whether you will get cold.Also your tea is in the dry kitchen refrigerator, wrapped withplastic.",Neutral
14228,Is it gonna be 3d,Neutral
18155,I think I'm pregnant,Negative
34715,Ok. See you then.,Neutral
47593,Yeah! XD,Positive
12043,Both :) i shoot big loads so get ready!,Negative
47740,"Nah, I saved it in a miscellaneous file on my computer haha",Neutral
45072,Sitting near the dry provisions shop,Neutral
11298,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,Neutral
17793,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for,Negative
45665,"Oh okay, no worries it's no big deal.",Neutral
12018,Get ready for <#> inches of pleasure...,Positive
13761,No problem with the renewal. I.ll do it right away but i dont know his details.,Neutral
18024,"Total disappointment, when I texted you was the craziest got :(",Negative
14692,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!",Positive
17588,When are you guys leaving?,Neutral
17308,Then we gotta do it after that,Neutral
47576,MINIMALISM ASSIGNMENTCheckReply erikaPay MayraCall dpsConlang,Neutral
18436,U can always shop for me!,Positive
14873,Hope you are having a great day.,Positive
15488,You dont know you jabo me abi.,Neutral
46651,Hi this is <name>! I emailed you a few words that I don't know... butif you don't have time no problem!,Neutral
46662,Coo,Neutral
15349,Pls do.,Neutral
18532,"Hi Stewart, can you help make arrangements for us to see the other VVunit down the street? We might be able to make it on Wednesday. Howabout the Warren penthouse?",Neutral
18950,What the heck! That's strange. I'm headed to the practice rooms,Neutral
34781,Just leaving NUS. Should be back before 8.,Neutral
14132,Might ax well im there.,Neutral
18250,<#> percent chance of snow tomorrow night Friday morning,Neutral
18450,Ok hersheys for me. What kind u want?,Neutral
17403,K no rush,Neutral
47117,Caw caw.. are you free anytime soon?,Neutral
17630,You're gonna have to be way more specific than that,Neutral
47751,Okhmaaaaaaa,Neutral
17477,Yo come over carlos will be here soon,Neutral
47830,Are you joining us? XP,Neutral
13689,<#> you will cope. You have no choice,Negative
14189,Ohok,Neutral
46843,"Alright, keep me updated",Neutral
13730,I'm fine. Hope you are also,Neutral
15335,I think its far more than that but find out. Check google maps for a place from your dorm.,Neutral
35076,alrighty,Positive
15404,I've been trying to reach him without success,Negative
19092,I checked online. In case he deleted anything off his phone. I know I'm terrible. But I had to check.,Negative
11273,What's your new addy?,Neutral
11251,Send me a pic!,Neutral
15406,Text her. If she doesnt reply let me know so i can have her log in,Negative
18340,That's cause your old. I live to be high.,Negative
47353,Playing my gihtar,Neutral
17228,I can't describe how lucky you are that I'm actually awake by noon,Negative
46157,We're gonna get dinner in like <#>,Neutral
15569,Its a big difference. <#> versus <#> every <#> hrs,Neutral
17946,Maybe you should find something else to do instead???,Negative
18861,Nah brah!,Negative
11284,DO WHATEVER YOU WANT.,Neutral
47248,Do you have class after this?,Neutral
18360,Oooh I got plenty of those!,Positive
46428,Love ya dad,Positive
17481,"Nah, Wednesday. When should I bring the mini cheetos bag over?",Neutral
18799,Hey Erin! Sorry for the delayed response. I can totally come over tonight! What's the address?,Positive
17995,Yo what you up to?,Neutral
14706,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I love you so much I can barely stand it ...,Positive
46784,OMG I'M THE WORST,Negative
34470,Haha niiiice!!! I'm going to take ein shower :),Positive
18014,"Usf I guess, might as well take 1 car",Neutral
35262,"Hi Wai Peng, Min here. Wireless connection may be a problem. Someteams are now on very slow connections. But we are not sure why. Wallstreet journal and engadget are not loading properly as are problemswith the connection to Elseviers systems. Can you check on it?Thanks!",Neutral
17591,"Sorry, went to bed early, nightnight",Neutral
47236,Soooo we're chillin' outside,Neutral
18321,Another month. I need chocolate and alcohol.,Negative
19094,Lol I know. At least they got rid of the puff of air in your eye. I really hated that. Docs suck. I donno y women r so determined to marry them.,Negative
47907,Upsetting,Negative
46888,Would it actually be okay for <name>'s? My mom's kinda annoyed right now >>,Neutral
18335,This pain couldn't have come at a worse time.,Negative
11293,"Well, i'm gonna finish my bath now. Have a good...fine night.",Neutral
13688,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,Neutral
47091,Bring Quentyn and soda,Neutral
19175,Ooh nice st pattys day outfit!,Positive
19228,I'm waiting to take a test right now. As soon as they get the results I can start. Probably Wednesday or Thursday,Neutral
11270,It would have to be after 9. I don't have minutes.,Neutral
14088,U crzy!!!,Negative
17991,"Sure, I'll see if I can come by in a bit",Neutral
15426,No. In california.,Neutral
13726,Its <#> past <#> and my thoughts are on you. On how easy it was for me to fall absolutely in love with you. You are dear to me and i.ll be there 4 you no mata wat,Positive
47738,"Clearly, they're retarded. The taser dudes didn't just take down thefive year olds",Negative
15494,"Great. I'm in church now, will holla when i get out",Neutral
17359,Tell me they're female :V how're you throwing in? We're deciding what all to get now,Neutral
47061,Alriiiight,Positive
35052,can you pick up hotdogs on the way home?,Neutral
18735,Got prescription. Will be off for a couple of days while prescription works. Love Gin x,Positive
47144,Caw,Neutral
15449,And how's your husband.,Neutral
47206,"I think there's a girl <name> doesn't like, but no one else I know",Neutral
11976,How is your schedule next week? I am out of town this weekend.,Neutral
19083,How much is the copy?,Neutral
45176,"Sure, ayam panggang three sets?",Neutral
13755,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry",Neutral
46672,"But srs, what should we do?!",Neutral
48555,Just the way you asked if we were staying for a brew n Phil was upstairs xx r u sure ur ok xx,Neutral
15383,I dont know why she.s not getting your messages,Neutral
18497,I had to. YOU refused to take me shopping.,Negative
47336,"Not much cash, but my state id, cal card, military id, and debit card =/",Neutral
35216,"Hi Sue, has Desmond reverted to you about either issue? Thanks! :-)",Positive
47050,Yo you asleep?,Neutral
18810,Yeah she does!,Positive
19089,After years of nagging I finally got mark to get contacts Woohoo!,Positive
19243,Lol looking forward to that,Positive
46207,"Haha, be there soon",Positive
13722,Was actually about to send you a reminder today. Have a wonderful weekend,Positive
17960,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come,Negative
46200,Hey! You should join us for dinner later!,Positive
14131,Enjoy that pizzza yo,Positive
46673,"How much is cafe 3? It's probably comparable to whatever we'd get, huh?",Neutral
18171,Gifting*,Neutral
15517,Its sunny in california. The weather's just cool,Neutral
46886,If I can get <name> up lol,Neutral
47920,04:00:00 AM,Neutral
46105,Food,Neutral
15626,This single single answers are we fighting? Plus i said am broke and you didnt reply,Negative
14066,Its like that hotel dusk game i think. You solve puzzles in a area thing,Neutral
47095,"Alright haha, what are we making?",Neutral
15304,No school on weekends,Neutral
46577,Are you guys planning on staying in sf long?,Neutral
18064,Too late I'm on,Neutral
19140,What happened to calling me back?,Negative
17722,"Yeah probably, I still gotta check out with leo",Neutral
46317,"World beat centre, yep",Neutral
17540,"That's fine, have him give me a call if he knows what he wants or has any questions",Neutral
34411,Woo hoo! So exciting. See you soon!,Positive
47723,I'm a Roose Bolt...on and I made RamsayWell I'm fuckedCause Stannis is gonna get meSo betray RobbDefect just to refectAnd I'd promise you anythingJust to be the North's wardenAnd Fat WaldaTies me to theyFreysNobody wants to pick a fight with the Lannisters (wants to pick a fight...),Negative
18270,So what u doing today?,Neutral
11936,"Yes, princess. Are you going to make me moan?",Neutral
47509,What kind of stuff do you wanna do?,Neutral
47926,"I'm sure it's fine, we can collaborate if we have our own write up",Neutral
13733,Now get step 2 outta the way. Congrats again.,Positive
47672,Mhm =),Positive
46435,Yessssss,Positive
47677,Sorry! XD,Negative
47303,You're up early =o,Neutral
15504,I'm good.,Positive
47826,Let Chris know xP,Neutral
47525,Psh features are beautiful,Positive
34784,You're welcome!,Positive
46148,But soul crushingly sad!,Negative
46997,They also said it HAS to be professionally installed,Neutral
17639,"Haha good to hear, I'm officially paid and on the market for an 8th",Positive
35203,"Hi sweetheart, missing ü too. Promise you that'll I'll be fine andtake care of myself. Love you bunches. Your kissablehuggy. <3",Neutral
46405,Seriously! Nana told me I 'gave away what was most special to me'...glad to see you see in only with my virginity -.-,Negative
47829,Replied you a Facebook message,Neutral
17875,How long does applebees take,Neutral
46325,"Transfusion, huh?",Neutral
34399,I shall! Love you too,Positive
15551,MBA,Neutral
18389,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,Positive
46736,Really? Weird xP,Neutral
13745,Thanks for loving me so. You rock,Positive
17969,You should change your fb to jaykwon thuglyfe falconerf,Neutral
14793,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",Positive
46971,Hahaha perfect xP,Positive
11256,What do you watch?,Neutral
11178,Prob not. I have to leave @ 5.,Negative
19127,I used to be but I got fired. I wonder why :(,Negative
17315,WHITE FUDGE OREOS ARE IN STORES,Positive
17656,"I'm outside islands, head towards hard rock and you'll run into me",Neutral
15528,I'm glad. You are following your dreams.,Positive
46136,"Hey dad, would you be able to read something for me?",Neutral
14061,Si si. I think ill go make those oreo truffles.,Neutral
18328,Like bleh,Negative
47338,"I think I lost my wallet =/ =/ the worst thing is, it's achecking habit that I've been forcing myself to quash and if I hadn'tI'd have it =/",Negative
17914,Also andros ice etc etc,Neutral
17921,I'm already back home so no probably not,Neutral
47541,Thanks lol,Neutral
35279,"Cellini said can deliver on <#> th from <#> . I said ok, since atleast not <#> th. Is that ok? Or should I call back rearrange for<#> st?",Neutral
18067,Did u get one?,Neutral
47577,XP*,Negative
14714,"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again",Positive
14223,Was playng 9 doors game and gt racing on phone lol,Neutral
17759,I'm at bruce & fowler now but I'm in my mom's car so I can't park (long story),Neutral
47810,How'd it go?,Neutral
47897,"""The trace never falls far from the tree.""These are great",Positive
47938,"Huh, that's weird",Neutral
19034,Everyonev is CRAZZEY excempt me!!!,Positive
18501,Just think... its Friday Woohoo party tonite!,Positive
17620,K see you guys soon,Neutral
19199,Omg I have such good luck. Today is my dads bday party and I was freaking out cause I ordered his gift online 2 weeks ago and still hadn't got it. Guess what came in the mail today?,Positive
46804,Tell me if you want me to. Sometimes I come and you don't - we'llhead that way if you do but I understand if you want some rest =),Neutral
14680,I'm still pretty weak today .. Bad day ?,Negative
34484,"Yeah! I just have rehearsal 6 to 7, then <TIME> to <#>",Positive
34876,Ok. Still waiting :-(,Negative
34736,"Great, thanks for your help. We'll be done with the forms tonight,how can I pass then to you on Friday? Thanks!",Positive
46471,"Where are you? We could meet there, but I'm in Doe if you're nearer",Neutral
47272,Waiiiit nooo I have to go with Mark,Negative
11239,"I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do.",Negative
17445,Well she's in for a big surprise!,Neutral
17643,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",Neutral
46580,"Fakir is Jaime! Misunderstood knight, huge fan base, new people don'tunderstand why",Positive
46802,Want me to come visit?,Neutral
14101,Cool graciaz,Positive
11218,Most of the tiime when i don't let you hug me it's so i don't break into tears.,Negative
15643,Its a site to simulate the test. It just gives you very tough questions to test your readiness.,Neutral
34487,Exactly! I'm getting better and better :),Positive
14607,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,Neutral
46950,yo I just realized the mattress won't fit in a van and we need tomove fast on the <#> st.. I think we should rent a van just that day,Neutral
12021,I can send you a pic if you like :),Positive
15557,Yeah.,Neutral
13753,Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends,Neutral
13776,"What's up bruv, hope you had a great break. Do have a rewarding semester.",Positive
47630,"Sorry haha, it's was an accidental call.. are you headed to Ohio?",Neutral
46653,Do you think it's okay to think we can stay at the new place when it's late?,Neutral
13740,No. I.ll meet you in the library,Negative
17884,You do got a shitload of diamonds though,Neutral
46876,I... I hope so... Post!,Neutral
18949,Yeah I'm done! I texted you,Neutral
14054,Er mw im filled tuth is aight,Neutral
18522,"Hi Ziheng, I may b abt <#> mins late.",Neutral
11973,"<#> days per month, even during your period..,",Neutral
46860,Okay =D yaaaaayyyyy I'm super excited,Positive
13675,Can't take any major roles in community outreach. You rock mel,Positive
46923,"Sorry, I really didn't mean to ditch you guys, I just figure we'dhave to leave fairly soon anyway",Neutral
19253,I slept last from <#> pm then <#> : <#> am. My lazy isn't used to working,Negative
17287,"That's good, because I need drugs",Positive
18529,Almost there,Neutral
14731,Give me a sec to think think about it,Neutral
17360,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",Positive
47864,"Ohh it was at <#> , I wanted to get up at <#>",Neutral
46634,Does <name> have normal OH?,Neutral
18015,In that case I guess I'll see you at campus lodge,Neutral
47100,Wac wac,Neutral
46224,Sure what's up? (Though I have to say <name> knows that one more thanme so sorry if I suck),Neutral
14032,Yo david my arm is all janked up cuz my friend arm barred me so i prob cant workout with you until it stops hurting i got ditched again.,Negative
19017,Do u want to go eat somewhere?,Neutral
47846,Hahaha well... at least you guys know I'm not a liar =P,Positive
47957,"I really don't blame you, having to be in the middle of all that",Negative
19070,Just a random curious question =D do u?,Neutral
34802,Ok. See you then. Thanks!,Positive
17615,"I got arrested for possession at, I you not, <TIME> pm",Negative
17618,It was awesome,Positive
47063,Btw you suck because of GoT,Negative
46478,I'll be out soon,Neutral
47614,Good idea yo,Positive
11300,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc.",Positive
17271,What an,Negative
18397,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,Negative
47853,"Yeah, as soon as I finish coming and stuff",Neutral
46256,We cant spray on apr 1? Dude we have to be here and no one has timein the week,Negative
17446,ARE YOU IN TOWN? THIS IS V. IMPORTANT,Neutral
15632,I always chat with you. In fact i need money can you raise me?,Negative
47607,Huh... those portions are actually pretty big huh?,Neutral
46542,Aight thanks,Positive
18191,No snow?,Neutral
17421,Or I guess <#> min,Neutral
14759,LOL ... No just was busy,Neutral
18846,Thanks a lot! :),Positive
14225,Owut noice,Positive
47567,Hmm,Neutral
46697,Swypo haha and groooss xP,Negative
17672,if you aren't here in the next <#> hours imma flip my,Negative
46426,Wtf?,Negative
46792,I love you! I'm sure it'll go great!,Positive
47059,Jeez that's annoying.. why do they even have that?,Negative
47443,Was I supposed to text? D= D= omg I'm the worst,Negative
17236,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",Neutral
13799,Then study,Neutral
46344,How are you feeling?,Neutral
47242,Maybe.. I don't know.. but maybe I can Basso and you can call and wake me =),Neutral
13779,Hope you are feeling great. Pls fill me in. Abiola,Positive
18859,I don't know who this is!,Neutral
45025,how are you?,Neutral
35028,Dont worry ive done it x,Positive
14606,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to me ? *sips cappuccino* I miss you babe *teasing kiss*,Positive
47699,Just dinner and playing my guitar badlyHow was your birthday?,Neutral
18414,Aww how sweet. Mark is always telling me he can't wait for me to die so he van collect my life insurance.,Negative
19067,I'm such a sucker. My main diamond was loose on my wedding ring so I went to get it tightened. But they talked me into replacing it cause it was a lil chipped get the ring engraved and put the old diamond on a pendant.,Negative
18198,Lol shut up,Neutral
46363,Lol alright,Neutral
12082,I will be gentle princess! We will make sweet gentle love...,Negative
11979,Good. do you think you could send me some pix? I would love to see your top and bottom...,Neutral
11913,Why do you ask princess?,Neutral
17472,"not that I know of, most people up here are still out of town",Neutral
15336,Minimum walk is 3miles a day.,Neutral
47974,I'm glad!,Positive
46554,I actually do use them as a cone,Neutral
11955,Thank you. do you generally date the brothas?,Neutral
17855,That means get the door,Neutral
34790,"Sorry, can not make it today. Can you send your proposal then to usby email. We won't have further time this weekend, sorry!",Negative
18756,Love you too,Positive
14725,Did either of you have any idea's? Do you know of anyplaces doing something?,Neutral
46448,Should be sent,Neutral
19148,Boo but it be so fun!,Negative
47490,"Whitney White c/o Linguistic Institute <#> <street> pl.Ann Arbo, MI... trying to find the zip now",Neutral
46520,"Mike's watching tutu, thinks Fakir is the main bad guy =P",Neutral
14821,Good morning angel,Positive
19007,Lmao u just made me choke on my bagel,Neutral
18944,"Hello! I'm going to bed, and just wanted to say I'm really glad you're so patient, and I love you so much. Goodnight my loff",Positive
46472,Where should I go then? We could meet in sproul,Neutral
47527,I might buy a second comp battery,Neutral
47635,Yeah! Maybe we can make a fob medley =P I've been playing a loooottt,Positive
12020,Do you like shaking your booty on the dance floor?,Neutral
46449,I'm glad you think it's alright! I'll keep practicing and we can playtogether =P,Positive
14026,Hows cave boi,Neutral
47745,"Oh shit, wtf",Negative
15388,<#> k,Neutral
18505,Lol I made steak yesterday. It was delish =P,Positive
14826,She's fine. Sends her greetings,Neutral
45206,meet you at the park,Neutral
35232,"Hi Ricky, sorry to bug at night. We want to check again with youthat the carpentry pieces to be replaced are going to be done by yourgood carpenter. Please get them to go ahead and measure tomorrow asthere's no time left. As for the show piece, we'll evaluate it on Satbut please don't wait for our judgment before getting the newcarpenter to do. Thanks! How was yr discussion with Desmond today?Please update us. Thanks v much.",Neutral
34488,Sorry! I was driving to starbucks :*,Neutral
46333,I see... are you feeling okay?,Neutral
17363,I know a few people I can hit up and to the yes,Positive
47138,Hokay... I'm taking my phone back now xP,Neutral
17250,"Haha I heard that, text me when you're around",Neutral
47195,Ohhh,Neutral
18353,Hey!!,Positive
45050,I don't know whether its convenient but ok. Can you contact my nextdoor neighbor mr wee directly? Will you be going down with themtoday?,Neutral
46378,"Oh no, what happened?",Negative
18960,Most definitely. You mean my messages?,Positive
47881,Soooo,Neutral
17961,About it,Neutral
17586,Come by our room at some point so we can iron out the plan for this weekend,Neutral
35295,"Hi, this is Prof. Kan from NUS, following up since I didn't see youremail. You can find the project description here at <URL>",Neutral
17974,Ugh typos,Negative
14889,You will go to walmart. I.ll stay.,Neutral
18966,Yo yo yo yo chicky! I'm on break :D,Positive
14090,Jk almost there,Neutral
46814,"Post! ""I dumped Mytho for you dammit!""",Neutral
19158,Have u been to hershey?,Neutral
46311,Not sure if you can go places not over night but we're going to themovies Friday and game of thrones Sunday... if you can't no big dealat all ^^,Neutral
17717,<3*,Positive
35236,"Hi ricky, what time can we meet later?",Neutral
46795,Aahhhh I have t to grocery shooop,Neutral
19161,Call me when u get a chance,Neutral
47435,I wandered around for a while and have my number to people about mywallet and did homework stuff haha,Neutral
13813,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,Positive
35224,"Hi Desmond, your tenant from Warren here. We received another letterfrom SMT&P your solicitors. I assume it's important. Can you tell mewhere I should mail it to to reach you (you sent me your addresspreviously, but I deleted it). Thanks",Neutral
47543,I love you so so much.. I'm the worst =(,Negative
47183,"Yeah, definitely meet there, and I planned on shopping to",Positive
19229,So...what u buying me?,Neutral
46620,Yeah..that's..that's true,Neutral
17831,I AM AT THE GAS STATION. GO THERE.,Neutral
47692,Did you get my text?,Neutral
17632,You getting back any time soon?,Neutral
14846,Thinkin about someone is all good. No drugs for that,Positive
46547,You too =),Positive
45160,"Msg 140: from <3752a4ca0fb31b06b860fa9bc47d8df487f52cf1f07d98dd> , to<a6ae4681c787661d87f52cf1f07d98dd> , ""2011.11.29 01:09:36",Neutral
11255,I absolutely LOVE South Park! I only recently started watching the office.,Positive
47083,What time would you guys be leaving on the bus?,Neutral
18401,Mark is off today,Neutral
47130,"Yep, just for that game xD but he for whatever reason wants me to sayhe also has uncharted 2 and mgs4 lol",Neutral
47732,There's a pool near my apartment apparently haha,Neutral
46806,Nooooo she said it's cause I was in every section and stuff!!!,Negative
15315,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Positive
45048,Ok. I need the answer early. Tomorrow is Friday already. Pleaseanswer so that I can tell them a correct answer. Thank you.,Neutral
14885,Its a great day. Do have yourself a beautiful one.,Positive
17849,Jesus armand really is trying to tell everybody he can find,Neutral
15379,Cool.,Positive
35309,"For spray back glass, we think it is Lilac White for the dry kitchenand Bone for the wet kitchen. Please confirm.",Neutral
18806,I'll be there in 5!,Positive
45149,"Hi, thanks. Ill try to stop by b4 5pm",Neutral
34831,"Ok, thanks will do. Cheaper than buying new one?",Neutral
15586,She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are <#> and up,Negative
46680,Virginia,Neutral
17918,Omw home now though,Neutral
18456,What u doing?,Neutral
17451,"yeah, that's what I was thinking",Neutral
46824,Wooo!Passed astro hahah,Positive
17381,K I'll take care of it,Neutral
47317,"Yeah, me neither. It's such an awful thought",Negative
19226,The first one. The second one wasn't a pharmacy tech one after all. And the manager seemed out of it. Go figure.,Negative
13724,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",Neutral
17948,"Tell you what, if you make a little spreadsheet and track whose idea it was to to determine who ""smokes too much"" for the entire month of february, I'll come up",Neutral
14168,Lolyi. Hf,Neutral
45079,"Hi Ricky, I know you said to wait until tomorrow, but if you wantupdate me on the remaining items, i'd appreciate it. Especially thetradehub <#> curtain store name.",Neutral
15411,What does nelson do?,Neutral
14041,~~~Pleaseeee,Neutral
13786,Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola,Positive
17539,"Well the general price is <#> /oz, let me know if/when/how much you want",Neutral
34720,"Hi Stewart, we talked to some renovation companies who advised usthat the renovation may take up to two and half months. We'llprobably need your help to talk to Desmond to extend onlease on theWarren unit a few months if they are agreeable. Thanks.",Neutral
11328,"Haven't seen my facebook, huh? Lol!",Neutral
35282,"Ricky, can you also get a quote for the venetian type blinds for thethird floor toilet? I know it will be expensive but we also need itdone (possibly by your side). Thanks!",Neutral
11291,"Hmph. Go head, big baller.",Negative
17773,"Not sure yet, still trying to get a hold of him",Neutral
48552,What time did you leave last night x,Neutral
14874,So what did the bank say about the money?,Neutral
14848,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.",Positive
17310,"Just chillin, you?",Neutral
34824,Sure. I may not be free to direct them but can get someone to leadthem there. Is that ok? Please give them this number.,Positive
18169,Boo,Neutral
14082,Imp.,Negative
47746,Uhhh lots of productive schoolwork,Neutral
17350,"Haha awesome, I might need to take you up on that, what you doin tonight?",Positive
45194,Leaving now.,Neutral
11242,<#> Didn't work. And i tried it without the zeros.,Negative
17498,U no it,Neutral
47438,"I'll probably go, yeah.. I mean, you don't really conlang anyway so Ican see why you wouldn't want to (unless you like created Klingon indisguise and now have a vendetta against <name>=P)",Neutral
13805,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,Positive
19168,How's your day going?,Neutral
47495,Here yo,Neutral
34385,Aww sweet! Wish I could've gone with you guys!,Positive
18807,Yo g-reg! What are you up to?,Neutral
18767,who knows. sometimes i study. im in the middle of planning retreat for the guys too. its friday. whatre you up to,Neutral
47304,Sup?,Neutral
14198,Later i guess. I needa do mcat study too.,Neutral
14837,Nope. Meanwhile she talk say make i greet you.,Neutral
45672,and if they don't have it out at the deli they will have it in the back frozen,Neutral
17450,Also hi wesley how've you been,Neutral
47051,Call:ChrisMomNanaDad,Neutral
47097,Caw caw... what are we doing?!,Negative
13780,Genius what's up. How your brother. Pls send his number to my skype.,Neutral
15509,How long does it take to get it.,Neutral
34837,"Hi Sue, thanks for your help. Yes I will let you know closer to theactual date of our move. We appreciate it!",Positive
11956,Thats cool! I am a gentleman and will treat you with dignity and respect.,Positive
46703,"It's ""Aaaaaaaaaaaaaaaaa"" pronounced ""WellsFargoBacon""",Neutral
47018,Go dorm it,Negative
46889,Ruuuuby if Chris came to your house could you potentially bring himwith you? XP,Neutral
11259,"I guess you could be as good an excuse as any, lol.",Neutral
13781,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,Positive
46829,Come grocery shopping? XP,Neutral
18035,Probably a couple hours tops,Neutral
46671,.-. I'm now confused as to what we should do,Negative
18215,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,Neutral
19099,Really? Cause I want the moon...,Negative
17295,Fffff. Can you text kadeem or are you too far gone,Negative
14207,Gettin rdy to ship comp,Neutral
46870,We'll get Chris btw,Neutral
47953,Was it just the usual drama?,Negative
18821,Alright good! He seems like a great dude to work with. Please please please let me know if there's another opportunity like that in the future!!! Thanks so much for considering me,Positive
12000,Daddy will take good care of you :),Positive
15377,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks.",Neutral
